code,value
KHR54H,200000
NEQ9NH,200000
H4MRQP,200000
TVXHP0,200000
I0WDML,200000
T07OMF,200000
AL5TON,200000
UQZC16,200000
XO756N,200000
8UMDAO,200000
D4DVN3,200000
I9WG21,200000
D9I58C,200000
GEFFBY,200000
MAL1XT,200000
UCR10S,200000
960UDE,200000
41Q2PP,200000
F3V39B,200000
HG6PL2,200000
FDOMQL,200000
0BOXW7,200000
1WYXL9,200000
S87ZCZ,200000
Q65XUP,200000
Q3RNI6,200000
ALB36Q,200000
4GHQD2,200000
SE1R2J,200000
U0Y0RK,200000
JG9IF9,200000
ZTQGPF,200000
ICU033,200000
5SL68F,200000
8NNCCS,200000
06Z029,200000
5E6E64,200000
MJ3SMX,200000
SGYDBF,200000
5RN6Q9,200000
ZV0RTZ,200000
CAVTK3,200000
RBBMDZ,200000
Q6QGWR,200000
T0O902,200000
Z9N2GT,200000
ZOV5F0,200000
MX0QZZ,200000
6C5T2F,200000
ES2E4X,200000
7PY4UE,100000
IIFQG1,100000
HZNVQ8,100000
NZLUL8,100000
YZ4ERO,100000
E5RUH5,100000
EEX62T,100000
0FGM1C,100000
D4G6MH,100000
0R4K6K,100000
4WFI5D,100000
VN4RXJ,100000
Y3H629,100000
V5B069,100000
2HJLRM,100000
DTGSCL,100000
M37TWS,100000
CC7W1A,100000
6ICYTB,100000
6XST7U,100000
B326T1,100000
V23Q1A,100000
G41R9I,100000
V2KD7M,100000
IDR0L2,100000
8I928E,100000
A842IW,100000
UN9KNS,100000
HD0950,100000
Z43P8N,100000
DC5QGG,100000
NVEAJE,100000
ZDSNZN,100000
601KGU,100000
9SPICT,100000
YZTU8Y,100000
UA1DNV,100000
OTFP07,100000
Y5B19F,100000
SQK7UL,100000
Z8R1CF,100000
P4YQA1,100000
EZ1EHQ,100000
O1APCD,100000
DYNH3M,100000
DKRA08,100000
30A33N,100000
ZCQRAR,100000
JZLSL0,100000
T6V7ZC,100000
